key	fr	galo	br	en	eo
acces-1	En transports en commun depuis la gare de Nantes (35 min) - gratuit le week-end :	O le châraiyaije qemun depés Nante (35 mn) - pouint payant pendant la fin de semene :	Eus porzh-houarn Naoned, gant an treuzdougen boutin (35 mun.) - digoust e-pad an dibenn-sizhun:	Using public transportation from Nantes railway station (35 min) - free during week-ends:	Per publika transporto el Nanta stacidomo (35 min) - senpage semajnfine:
acces-2	TER ou Tram Ligne 1 direction Beaujoire / Ranzay / Haluchères, arrêt Haluchères ;	TER ou trame Ligne 1 vers Feûjis / Ranzaï / Aluchere, estacion Aluchere ;	TER pe linenn tramway 1 war-du Beaujoire / Ranzay / Haluchères, arsav Haluchères;	TER train line or Tram line 1 towards Beaujoire / Ranzay / Haluchères, stop at Haluchères ;	TER aŭ Tramlinio 1 direkte al Beaujoire / Ranzay / Haluchères, Haluchères haltejo;
acces-3	Puis bus 85 direction Bois St-Lys, arrêt Mainguais ;	Pés busse 85 vers Bouéz St-Liz, estacion Mainguais ;	Goude mont gant ar bus war-du Bois St-Lys, arsav Mainguais;	Then bus 85 towards Bois St-Lys, stop at Mainguais ;	Poste buso 85 direkte al Bois St-Lys, haltejo Mainguais;
acces-4	La salle est à 5 minutes à pieds.	La sale ét a 5 minutes a pië	5 munutenn war-droad 'zo betek ar sal	The venue is 5 min away, walking.	La konkursejo estas 5 minutojn piede.
acces-5	En voiture :	O la chârte :	Gant ar c'harr-tan:	By car:	Aŭtomobile :
acces-6	Depuis Nantes (25 min), via Porte de Carquefou puis rue de la Mainguais ;	Depés Nante (25 mn), par Porte de Carqefou pés rue de la Mainguais	Eus Naoned (25 mun.), mont dre "Porte de Carquefou" ha goude "Rue de la Mainguais";	From Nantes (25 min), via Porte de Carquefou then Rue de la Mainguais;	El Nantes (25 min), tra Porte de Carquefou kaj poste "Rue de la Mainguais";
acces-7	Depuis l'aéroport de Nantes (25 min), via Porte d'Anjou puis A811 sortie 23b ;	Depés le port d'avions de Nante (25 mn), par Porte d'Anjou pés A811 sortie 23b ;	Eus an aerborzh Naoned (25 mun.), mont dre "Porte d'Anjou" ha goude A811 ermaez gourhent 23b;	From Nantes Airport (25 min), via Porte d'Anjou then A811 exit 23b;	El la flughaveno de Nantes (25 min), tra Porte d'Anjou kaj poste A811 elirejo 23b;
acces-8	Depuis Angers (1h), via A11 sortie 22 puis A811 sortie 23 ;	Depés Anjé (1 oure), par A11 sortie 22 pés A811 sortie 23 ;	Eus Angers (1 eur), mont dre A11 ermaez gourhent 22 ha goude A811 ermaez gourhent 23;	From Angers (1h), via A11 exit 22 then A811 exit 23;	El Angers (1h), per A11 elirejo 22 kaj poste A811 elirejo 23;
acces-9	Depuis Rennes (1h25), via A11 sortie 24 puis rue de la Mainguais.	Depés Rene (1 oure 25 mn), par A11 sortie 24 pés rue de la Mainguais.	Eus Roazhon (1e25), mont dre A11 ermaez gourhent 24 ha goude "Rue de la Mainguais".	From Rennes (1h30), via A11 exit 24 then rue de la Mainguais.	El Rennes (1h25), tra A11 elirejo 24 kaj poste "Rue de la Mainguais".
afs	L'Association Française de Speedcubing est une association loi 1901, regroupant des bénévoles et membres passionné·e·s autour de la pratique des casse-tête rotatifs, dont le cube inventé par Ernö Rubik est le plus célèbre représentant. Elle a pour but de promouvoir la discipline, notamment en facilitant l'organisation sur le territoire français de compétitions officielles. À ce titre, elle soutient l'organisation de la compétition en mettant son matériel, son assurance et/ou un financement à disposition !	La Souéte Françaeze de Speedcubing ét ene souéte louai 1901, qhi ramoucele des benvoulant·e·s e des souétou·ère·s ataïnë·ée·s a la fezerie de "bezaignes ournissants qhi tournent" ("twisty puzzles"), de cai le qhube inventë o Ernő Rubik ét le pûs de la qenûe. Son but ét de parlever le demaine-la, surtout en rendant pûs ézë de mener des courses aqenûes su le payiz françaez. Pour ela, o parleve la menerie de la course-li o mettant d'amain ses oûtis, son assûrance e/ou son arjent!	Ur gevredigezh lezenn 1901 eo Kevredigezh Bro-C'hall Speedcubing. Strollañ a ra tud youl-vat ha tud entanet gant pleustr c'hoarioù troiat ("twisty puzzles"), m'eo an hini brudañ an diñs ijinet gant Ernő Rubik. Kas war-raok an diskiblezh eo he fal, da skouer en ur aesañ aozadur kenstrivadegoù ofisiel war tiriad Bro-C'hall. Setu perak eo harpet ar kenstrivadeg gant an AFS en ur lakaat hegerz he periant, he asurañs hag/pe he arc'hant!	The French Speedcubing Association (AFS) is a legal association of 1901, bringing together volunteers and passionate members around the practice of rotary puzzles, whose cube invented by Ernö Rubik is the most famous representative. Its purpose is to promote the discipline, notably by facilitating the organization of official competitions on French territory. As such, it supports the organization of the competition by making its equipment, insurance and/or financing available!	La Franca Asocio de Rapidkubumado estas asocio leĝo 1901, kunigante volontulojn kaj membrojn pasiajn pri la praktiko de "twisty puzzles" (~ turnantaj puzloj), el kiuj la kubo inventita de Ernő Rubik estas la plej fama reprezentanto. Ĝia celo estas antaŭenigi tiun disciplinon, precipe faciligante la organizadon de oficialaj konkursoj sur franca teritorio. Kiel tia, ĝi subtenas la organizon de la konkurso disponigante sian ekipaĵon, asekuron kaj/aŭ financadon!
partenaires-1	+2Cubes est une boutique de cube en ligne française qui sponsorise la compétition !	+2Cubes ét eune boutiqe de qhube françaeze su la teille e ét pârain de la course-la !	Ur stal diñs enlinenn gall eo +2Cubes ha paeroniañ a ra ar genstrivadeg-mañ!	+2Cubes is a french online cubing store which sponspors the competition!	+2Cubes estas franca interreta kubbutiko, kiu sponsoras la konkurson!
partenaires-2	La ville de Carquefou rend cette compétition possible en nous prêtant la salle de la Picaudière !	La course-ci ét possibl grace ao prét de la sale de la Picaudiere par la vile de Carqefou !	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Di-Kêr Kerc'hfaou a brest sal ar Picaudière deomp!	The city of Carquefou makes this competition possible by providing the venue!	La urbo Carquefou ebligas ĉi tiun konkurson disponigante la konkursejon!
live	Les résultats de la compétition en (presque) direct sont disponibles sur WCA Live.	Vous pouéz sieudr les fezûres de la course-la (presqement) en dret su WCA Live.	Gallout a rit heuliañ an disoc'hioù kazi war-eeun war WCA Live.	Live results of the competition are available on WCA Live.	(Pli malpli) realtempaj rezultoj de la konkurso haveblas ĉe WCA Live.
